poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,732174,286787,28219,66238,42366,33446,9284,28299,30,66
,95231,86431,56978,17040,6454,3779,5601,14575,30,66
,163759,175800,124408,42660,39070,12870,2867,41329,30,66
,872323,299705,931560,153735,79937,66948,20610,157834,30,66
,981200,572250,928772,131061,43416,44177,13953,119575,30,66
,2661064,1113494,266026,151908,49910,59148,30548,51678,30,66
,1336219,1045137,78854,40556,40486,27842,12198,113989,30,66
,847130,47533,19282,8074,4256,3255,1306,16869,30,66
,1662930,385608,171468,74699,29338,4223,5188,78256,13,56
,1261101,87062,72059,35272,20700,9318,8608,87971,14,60
,558423,15559,9574,18776,2717,2302,1226,18165,14,60
,1019217,1300384,322822,46383,56870,23287,41779,298250,11,50
,710482,134116,116462,40456,16081,24463,4068,52494,29,74
,1049267,281218,53457,38571,15289,22308,5918,136413,30,61
,788003,422830,99745,45944,24600,21587,7499,121642,41,61
,294166,55576,21159,8690,4400,2232,972,18658,41,61
,769692,164162,40453,49340,21704,18888,6735,73229,50,47
,262857,25925,23291,19151,8051,8246,1300,18763,50,47
,1119051,202118,103216,56539,9064,14868,9071,91329,43,43
,991336,1062834,282734,415818,77704,43530,16490,294232,35,50
,96731,49673,10453,6086,4878,2441,1461,16364,35,50
,381669,174238,81901,23636,24597,8534,2728,63123,34,54
,2177282,849929,259934,172233,62976,16419,31992,303607,16,56
,114400,94522,12940,10500,3218,2258,1357,19056,8,44
,1640502,492570,83820,92169,98140,50930,21617,276996,20,37
,980796,540986,253040,18142,33958,16018,7074,107592,14,37
,1907387,1028918,514755,216729,25269,70967,24060,317606,26,40
,836912,335112,75137,37618,24851,9750,7487,82516,27,41
,214930,526896,325579,178708,7019,37611,15005,172719,21,54
,1089293,625324,57456,142185,20892,38307,5685,140275,21,54
,1995857,393661,93880,45794,32457,11406,4185,99982,21,54
,547459,34073,4586,12467,11908,2059,2006,19340,27,53
,5359,16413,8897,1028,325,817,121,5579,27,53
,316025,143063,138190,17440,13833,7701,3803,64998,24,56
,935757,27923,21577,10828,4890,2969,708,15703,24,56
,48817,27904,6732,5182,26897,5859,1879,29735,43,51
,1270606,533438,157832,34329,53048,17460,16902,139064,38,40
,283873,46228,15962,29106,5166,4295,680,22562,38,40
,119671,37804,3942,2494,403,1112,135,3339,38,40
,515515,58644,31611,34888,5199,2523,865,18810,38,40
,1056292,622670,64664,82116,16897,9391,4021,70509,26,35
