poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,789455,188224,15437,37484,11905,18506,24344,3796,64,87
,208450,32373,6015,939,5605,5246,1757,990,54,70
,22298,22471,10917,4547,19316,10719,4798,3109,54,70
,1663993,50639,30596,27887,14029,20117,16080,6306,43,78
,374758,106750,24874,11580,15641,13749,4854,12293,44,78
,1336869,588155,42571,57360,13229,32767,56735,8628,35,78
,307219,35010,9263,4857,6290,19279,5598,7566,43,60
,90265,51226,5130,16495,19778,12278,5194,1539,48,60
,1634665,330736,2940,24270,29048,16292,7018,2438,48,50
,80695,16717,14847,3235,6395,16321,5708,7718,53,60
,51492,55928,13274,5543,4735,12524,8029,2789,44,61
,28136,46711,29369,7996,5284,13081,9116,2124,43,70
,168848,25425,10246,13780,4966,4258,3594,703,50,94
,570418,477049,74114,33832,11150,12752,8108,6369,20,87
,1796652,106873,20995,25650,39622,30206,6273,2319,21,87
,256389,274821,10860,13980,31612,10646,9219,3183,8,64
,1656610,66921,37649,9873,21227,11254,8542,2313,8,60
,1802149,230370,85983,52647,46982,69566,17305,3152,29,67
,67046,31398,2217,12142,11214,1680,2149,284,13,70
,1877293,580119,89749,100597,129252,23658,13578,7651,13,83
,105432,87754,21851,19187,5472,12385,2383,559,13,83
,406782,171230,12785,38557,21777,8682,6542,1681,4,77
,1283545,62776,91230,23287,12630,4911,6303,2312,1,88
,888728,315222,14929,93102,14995,20177,39382,4933,8,100
,526081,5087,1759,5248,4388,4321,3025,3690,29,100
,308138,54878,14704,14600,18456,8320,17399,3188,43,93
,787890,286618,80801,19687,23533,35053,16670,4407,34,80
,720069,99412,10571,25931,9033,10035,6635,3731,37,78
,40777,11274,6509,10451,12595,25202,9858,3271,44,77
,65524,31532,49471,3477,9084,6919,4134,4210,67,100
,169642,112101,54771,38356,60957,42735,15596,8101,53,100
,187816,73375,12579,17132,21202,12758,6772,2334,35,100
,2508908,198143,60966,7919,6262,16232,10295,9208,30,88
,729678,90768,13010,8001,34515,23890,7377,4420,30,64
,376234,340267,55509,72664,15759,28490,15746,28569,23,67
,335213,74569,3224,4619,8731,6568,1742,1896,26,54
,334083,145636,66601,60643,9452,29655,2592,2572,26,61
,62674,31843,15499,3793,3918,5803,5138,1147,21,74
,151369,27567,1812,3596,11326,4048,4246,1820,35,74
,29902,25045,3915,4289,11710,13031,19761,4788,47,60
,56188,38045,1568,3448,2616,1899,1583,642,37,44
,222386,48388,4989,5474,2830,5844,10758,5418,34,41
,96517,9683,1824,3158,689,4895,3486,1857,43,51
,12519,82933,23712,6484,25437,15186,13630,4502,34,54
,292326,33330,51637,20156,30515,13723,7435,11826,44,77
,260043,120561,21806,9394,14716,5677,42244,9520,35,78
,90813,41413,46944,4025,2896,17551,17822,8037,29,87
,469334,150717,57073,13532,71817,11254,7592,8960,20,90
,193985,104090,21823,23257,31650,36174,11636,13894,24,77
,587492,12519,17279,14407,14457,14448,13637,14711,47,88
,66649,27476,9531,3978,15634,15527,28112,6615,53,77
,109200,124674,32949,20133,38179,22243,16235,5600,63,75
,127427,11603,5284,7962,5317,4824,7502,1523,61,83
,186991,43484,25745,17334,17248,21210,16696,7756,57,80
,2300831,141711,52824,36873,18503,20801,16159,7760,43,87
,584114,141851,42355,16157,26681,36166,8782,7121,47,88
,829599,127978,3563,19068,12489,20913,20207,9657,43,74
,475425,353697,17129,6981,12014,25558,20504,16532,30,51
,1703146,156389,37914,8861,20749,13095,7590,7996,27,44
,225395,56087,3349,50708,11161,6237,4812,2590,16,54
,290220,61788,22316,4070,5490,3703,8413,2345,7,63
,80556,12171,4334,5166,2528,4805,1794,1267,17,84
,23099,28690,12069,5495,15644,28238,7157,21156,40,84
,26091,15761,27486,5646,8001,15442,8341,6430,56,88
,185690,229162,12136,21500,16661,12983,8932,6115,56,78
,468507,211137,45905,5190,17298,20107,20110,5361,44,67
,475635,472746,170256,22422,46863,50416,8659,7420,24,69
,1545363,135142,26892,39656,31421,11628,4847,3157,8,61
,124139,58440,7274,18354,20469,17058,13971,11559,26,81
,142154,98004,26971,29192,10377,24942,10709,25783,34,83
,413298,57044,15220,4649,8137,20939,31257,17600,48,77
,835087,30881,51045,10584,34129,74487,36717,26956,69,74
,336460,28080,16908,1234,4787,7343,2759,3032,66,78
,9575,7454,1808,5370,9538,11360,16135,7071,81,75
,7927,13118,4784,3815,13217,22242,5200,4791,94,74
,110020,7417,1615,3225,3470,9345,2353,1203,94,66
,51101,24812,14076,14485,5133,20253,27237,3967,100,69
,760824,160467,37911,36022,15665,24126,29569,10541,81,74
,915141,158982,22441,21202,12998,15372,22791,9615,57,75
,197454,50232,6573,8171,4365,5222,2664,1953,35,75
,160535,102251,5527,18812,14643,18464,8665,5691,26,61
,71050,24570,3906,8584,20336,13483,22815,3223,40,54
,11350,12918,5642,2097,12365,15225,10341,7860,60,54
,383657,34114,35383,6169,2875,25735,9190,2854,74,64
,35175,77361,50232,16373,2475,24705,7387,3230,75,80
,89599,27069,23429,17027,11511,32448,9926,7160,78,90
,154604,21509,16389,29697,9729,40283,8401,12956,75,100
,11224,44503,4874,3415,3159,19800,24342,7116,77,83
,61775,19405,6764,12672,11213,17445,5724,8347,87,77
,553068,63171,1428,8096,11409,12399,17321,12715,77,60
,4130,13414,12856,7276,11753,14877,9155,3969,75,56
,6475,7283,594,8600,15751,20282,11757,7846,84,61
,49299,15521,8379,1195,1263,4057,3531,984,75,63
,76153,27050,7508,928,5834,6732,7418,2439,75,69
,99516,16686,1464,818,1166,654,1052,138,51,54
,45919,12188,8263,789,2443,6671,2738,1613,40,61
,87022,78563,6786,19316,18084,12684,20924,2971,41,57
,48327,32900,22183,5740,24961,7514,12518,7686,54,70
,101342,13682,10909,19660,20508,20098,4775,5780,57,75
,263551,184807,14274,54154,37950,20775,18743,6893,44,74
,425306,26076,27049,26863,10731,11916,10102,3146,47,91
,728747,175847,22611,26818,95167,42857,21774,4318,50,81
,1411523,493797,118723,34825,51800,51375,40477,15958,34,74
,434118,46882,27307,17800,5997,9372,2247,2155,37,81
,104623,26143,6020,21058,8234,16003,6009,3884,43,74
,25400,28428,151,1529,4876,5832,4575,1619,43,60
,131324,96700,45739,54380,22372,11943,13832,16078,40,70
,112701,25359,12886,21270,5490,17839,12136,4592,50,74
,88221,22873,11977,13103,8090,26108,8202,6064,54,70
,66950,10262,3875,2346,2429,8296,4136,3657,64,90
,121503,19505,5322,845,3230,3786,3461,1038,75,78
,150611,66514,6651,3346,2851,15297,6546,13697,64,63
