poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,1581837,304870,64616,201653,414028,224617,42362,37123,0,0
,570643,21691,6167,4047,1687,1122,422,217,0,0
,808426,207099,50857,84560,142977,122363,88433,31708,0,0
,235308,242332,49008,64767,54559,48173,31577,16511,0,0
,1031158,273819,16544,39879,29806,23835,9801,2783,0,0
,250182,6061,13178,12324,45111,20562,44942,7743,0,0
,627695,1279337,941649,417387,247050,104935,44784,35908,0,0
,839123,200850,211257,72389,208041,116739,51694,45443,0,0
,661716,339002,196073,123256,46806,9030,6913,4180,0,0
,1,2,0,1,2,0,1,0,0,0
,338,93,78,105,95,45,27,40,0,0
,1631396,352432,21710,42410,128142,103432,10330,18731,0,0
,2993798,601506,139648,100938,200064,156700,50863,31849,0,0
,6,4,1,1,0,0,0,0,0,0
,78504,57210,31520,12684,13940,5978,2563,3676,0,0
,333935,84458,13166,46629,19943,13002,5902,6499,0,0
,721026,27948,64642,118267,96869,76923,119503,55882,0,0
,1973637,427398,390392,312450,306544,509566,250051,71916,0,0
,707031,873617,204460,275725,56787,91535,45351,21119,0,0
,1520370,482839,90009,101000,72279,96470,123317,73321,0,0
,3361807,234397,7938,3928,15637,21472,3858,748,0,0
,1415042,241525,224838,175828,124106,85727,39910,10293,0,0
,758946,14748,50,5592,2435,2940,3104,311,0,0
,844433,94085,24346,17032,10536,22290,10832,19355,0,0
,908542,92458,89904,5214,37730,15114,7209,48967,66,78
,742178,82422,31024,14689,4887,7594,2853,51757,40,63
,2106451,111262,6435,41136,14085,4808,6792,53612,8,57
,1052106,162013,66290,40955,53231,56564,30486,48485,11,48
,2079204,285866,24512,50862,59489,88874,43096,40374,38,34
,1230701,959578,392276,252328,102802,101391,44027,191038,48,35
,1399739,415314,56011,111018,28483,17564,8815,51208,48,35
,59697,46420,13742,3316,5941,7255,8539,3464,48,35
,628791,174823,15125,20330,53188,36873,22291,16976,48,20
,1331262,489847,31032,49455,37300,39853,38486,63711,54,4
,663756,148518,74581,12228,12618,21193,2060,64720,75,8
,727359,27126,5301,9865,8624,3152,1423,13765,43,38
,836367,49891,23304,23159,36060,4428,6498,57044,38,53
,846351,179294,148571,11082,8369,20446,13437,60670,29,60
,181448,311492,99344,29818,26582,9714,14411,54271,1,51
,2272838,570727,175799,168865,34063,38364,17183,228749,1,56
